id_str,name,screen_name,location,description,protected,followers_count,friends_count,listed_count,created_at,favourites_count,time_zone,verified,statuses_count,lang,contributors_enabled,profile_image_url
880641733461147649,Froze,Froze74988267,Malaysia,Ocean is blue,False,7,271,0,Fri Jun 30 04:18:45 +0000 2017,6522,Not Available,False,438,Not Available,False,http://pbs.twimg.com/profile_images/881161189207621632/IrTAilVU_normal.jpg
874514716189523968,fara,jwerr0r,caratland,Not Available,True,50,86,0,Tue Jun 13 06:32:10 +0000 2017,1096,Not Available,False,595,Not Available,False,http://pbs.twimg.com/profile_images/1503015558454800384/F_oDB2F5_normal.jpg
1510926882753368065,Jack,ahjack_01,Not Available,Hello~,True,0,9,0,Mon Apr 04 10:27:14 +0000 2022,0,Not Available,False,0,Not Available,False,http://pbs.twimg.com/profile_images/1510926966178054144/OSCgG8up_normal.jpg
1472512915722760193,Ciklicious blog,ciklicious,Not Available,Not Available,False,4,238,0,Sun Dec 19 10:23:59 +0000 2021,125,Not Available,False,12,Not Available,False,http://pbs.twimg.com/profile_images/1472513033561804805/Iek_4rHt_normal.jpg
1104187698946891776,ManDu,WanRu0210,Not Available,Not Available,False,15,79,0,Sat Mar 09 01:10:37 +0000 2019,4409,Not Available,False,112,Not Available,False,http://pbs.twimg.com/profile_images/1110532079945764864/XrnP_vUH_normal.jpg
1493417216397963264,Syai,syaibutnotshy,Not Available,20 | priv acc,True,0,12,0,Tue Feb 15 02:49:55 +0000 2022,10,Not Available,False,17,Not Available,False,http://pbs.twimg.com/profile_images/1493419633009119235/g5TxI56H_normal.jpg
1133604189018308608,🕊,syuvvvvv,Spain,Not Available,True,0,42,0,Wed May 29 05:21:14 +0000 2019,386,Not Available,False,159,Not Available,False,http://pbs.twimg.com/profile_images/1404854618803249155/4rib5Uqx_normal.jpg
1342520701605965824,yanni,monteen7hoe,caratland,"OT13 to life ✨

#SEVENTEEN #세븐틴
#CARAT #캐럿
#TEAMSVT",False,1410,1439,3,Fri Dec 25 17:21:13 +0000 2020,8460,Not Available,False,14227,Not Available,False,http://pbs.twimg.com/profile_images/1509947925668925443/0UeUHeAl_normal.jpg
1076378393086574592,🖤,laladoriri,"Sydney, Singapore",뭐하냐 너,True,0,28,0,Sat Dec 22 07:26:21 +0000 2018,5583,Not Available,False,8142,Not Available,False,http://pbs.twimg.com/profile_images/1500903054778171392/8Pf1UigU_normal.jpg
1510660890739474436,danish ibrahim,danishi48694475,Not Available,"Sports,football",False,0,33,0,Sun Apr 03 16:50:12 +0000 2022,1,Not Available,False,3,Not Available,False,http://pbs.twimg.com/profile_images/1510660955176574977/2wI2xwHS_normal.png
1363317664668545026,hiyyih,roxsandie,Not Available,i need a cha cha beat boy,True,47,230,0,Sun Feb 21 02:52:35 +0000 2021,21832,Not Available,False,6975,Not Available,False,http://pbs.twimg.com/profile_images/1439660271186841601/sO_Pwdsk_normal.jpg
932986230525927425,jamy ς(◠‿◠.) ♥,woozsvntn,she/her,whoops apparently a multifan,False,33,283,0,Tue Nov 21 14:57:06 +0000 2017,38276,Not Available,False,11434,Not Available,False,http://pbs.twimg.com/profile_images/1475466894354235395/-9jCGHzt_normal.jpg
1510521626072600579,bolognese,bolognese_angel,Not Available,Not Available,False,1,71,0,Sun Apr 03 07:36:51 +0000 2022,5,Not Available,False,5,Not Available,False,http://pbs.twimg.com/profile_images/1510641082769752067/4iNoxd0s_normal.jpg
820721639713292288,sofia,thtricekid,Not Available,21 | she/they | icon from @16xmin !!,False,13,226,0,Sun Jan 15 19:57:41 +0000 2017,60609,Not Available,False,9497,Not Available,False,http://pbs.twimg.com/profile_images/1361239918819700738/ccz87VLX_normal.jpg
1300346760682905600,shua in coups ☕️ of hannie 🍯,paperfish95s,🇲🇾,小十七的95s 💎 Seungcheol•Jeonghan•Jisoo | In chronological order aka 排名不分先后,False,20,60,0,Mon Aug 31 08:17:25 +0000 2020,1029,Not Available,False,1135,Not Available,False,http://pbs.twimg.com/profile_images/1349983169148121088/PemGpUXI_normal.jpg
243556117,nadya♡,ndya_,Seoul.,"☆*:.｡.𝔀𝓱𝓮𝓷 𝓘’𝓶 𝓳𝓾𝓼𝓽 𝓫𝓮𝓲𝓷𝓰 𝓶𝓮, 𝓘 𝓼𝓱𝓲𝓷𝓮 𝓽𝓱𝓮 𝓫𝓻𝓲𝓰𝓱𝓽𝓮𝓼𝓽.｡.:*☆
💜ㅂㅅㅎ ❤ㅎㅈㅅ 🧡ㅇㅇㅁ 
🤎ㅇㅎ 💙ㅇㅊㅋ 💛ㅇㅇㅈ",False,1508,3043,7,Thu Jan 27 09:13:07 +0000 2011,132073,Not Available,False,92205,Not Available,False,http://pbs.twimg.com/profile_images/1504806135336882178/tNJ2Qz_o_normal.jpg
944394524498866176,zu,zuhayrahzhri,Not Available,"still alive, nw",True,121,170,0,Sat Dec 23 02:29:35 +0000 2017,11878,Not Available,False,12602,Not Available,False,http://pbs.twimg.com/profile_images/1402594912617459715/RN43JYdW_normal.jpg
980130853,hani mraza,HaniMraza,kuala lumpur,dentistry usim,True,263,215,0,Fri Nov 30 09:35:00 +0000 2012,1284,Not Available,False,3135,Not Available,False,http://pbs.twimg.com/profile_images/1260524896792150016/6OA9IZfF_normal.jpg
949492441379364865,🌸 \⁷,leitryy,btsvt + exo + chungha ,Lol no worries as long as this planet has namjoon 🇲🇾,False,54,309,0,Sat Jan 06 04:06:53 +0000 2018,14470,Not Available,False,21082,Not Available,False,http://pbs.twimg.com/profile_images/1477704758483898370/DwiQb94C_normal.jpg
1506573780193214466,𝕥𝕚𝕗𝕗💎,fanitiffany_,Not Available,#TeamSVT #CARAT,False,3,106,0,Wed Mar 23 10:10:58 +0000 2022,3253,Not Available,False,1044,Not Available,False,http://pbs.twimg.com/profile_images/1511366747072634880/2ZPXS15T_normal.jpg
1273076638276702208,𝓜𝓲𝓶𝓲🦋|| semi ia until march,svtmate_,🇲🇾,"18
prefer she/her
私は花です🤍🌹
𝕨𝕙𝕒𝕥 𝕪𝕠𝕦 𝕖𝕟𝕕𝕦𝕣𝕖 𝕚𝕤 𝕡𝕣𝕖𝕔𝕚𝕠𝕦𝕤🦋🌈✨",False,385,788,2,Wed Jun 17 02:15:16 +0000 2020,2431,Not Available,False,4436,Not Available,False,http://pbs.twimg.com/profile_images/1507374694378635265/-NNjCE60_normal.jpg
469234502,#SVT_RATUinKL | Mecha Gomora,shafiezj,Wilayah Persekutuan Kuala Lump,"Airen
Carat
Elf
Si......",False,223,605,0,Fri Jan 20 11:23:56 +0000 2012,4479,Not Available,False,7538,Not Available,False,http://pbs.twimg.com/profile_images/1506448699219603458/M1-vZlgX_normal.jpg
